Tracker: sutrack_OR, Config: sutrack_or_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_OR_sutrack_or_t224
============================================================
Frame 1: FPS=41.36, Avg FPS=41.36, Time=24.18ms
Frame 2: FPS=226.24, Avg FPS=69.94, Time=4.42ms
Frame 3: FPS=234.88, Avg FPS=91.32, Time=4.26ms
Frame 4: FPS=234.58, Avg FPS=107.77, Time=4.26ms
Frame 5: FPS=236.55, Avg FPS=120.94, Time=4.23ms
Frame 6: FPS=236.90, Avg FPS=131.68, Time=4.22ms
Frame 7: FPS=230.60, Avg FPS=140.28, Time=4.34ms
Frame 8: FPS=226.44, Avg FPS=147.28, Time=4.42ms
Frame 9: FPS=240.97, Avg FPS=153.93, Time=4.15ms
Frame 10: FPS=233.43, Avg FPS=159.36, Time=4.28ms
Frame 11: FPS=214.42, Avg FPS=163.17, Time=4.66ms
Frame 12: FPS=219.69, Avg FPS=166.74, Time=4.55ms
Frame 13: FPS=221.74, Avg FPS=169.99, Time=4.51ms
Frame 14: FPS=224.16, Avg FPS=172.97, Time=4.46ms
Frame 15: FPS=214.73, Avg FPS=175.24, Time=4.66ms
Frame 16: FPS=221.72, Avg FPS=177.57, Time=4.51ms
Frame 17: FPS=221.70, Avg FPS=179.67, Time=4.51ms
Frame 18: FPS=223.72, Avg FPS=181.66, Time=4.47ms
Frame 19: FPS=211.51, Avg FPS=183.02, Time=4.73ms
Frame 20: FPS=216.94, Avg FPS=184.46, Time=4.61ms
Frame 21: FPS=224.58, Avg FPS=186.05, Time=4.45ms
Frame 22: FPS=222.42, Avg FPS=187.44, Time=4.50ms
Frame 23: FPS=219.26, Avg FPS=188.63, Time=4.56ms
Frame 24: FPS=216.64, Avg FPS=189.65, Time=4.62ms
Frame 25: FPS=216.51, Avg FPS=190.60, Time=4.62ms
Frame 26: FPS=223.57, Avg FPS=191.68, Time=4.47ms
Frame 27: FPS=219.41, Avg FPS=192.59, Time=4.56ms
Frame 28: FPS=222.71, Avg FPS=193.52, Time=4.49ms
Frame 29: FPS=221.76, Avg FPS=194.37, Time=4.51ms
Frame 30: FPS=221.67, Avg FPS=195.17, Time=4.51ms
Frame 31: FPS=221.63, Avg FPS=195.93, Time=4.51ms
Frame 32: FPS=228.81, Avg FPS=196.81, Time=4.37ms
Frame 33: FPS=227.31, Avg FPS=197.62, Time=4.40ms
Frame 34: FPS=224.90, Avg FPS=198.32, Time=4.45ms
Frame 35: FPS=221.29, Avg FPS=198.91, Time=4.52ms
Frame 36: FPS=220.57, Avg FPS=199.46, Time=4.53ms
Frame 37: FPS=223.58, Avg FPS=200.04, Time=4.47ms
Frame 38: FPS=223.99, Avg FPS=200.61, Time=4.46ms
Frame 39: FPS=223.02, Avg FPS=201.12, Time=4.48ms
Frame 40: FPS=222.06, Avg FPS=201.60, Time=4.50ms
Frame 41: FPS=222.62, Avg FPS=202.06, Time=4.49ms
Frame 42: FPS=218.46, Avg FPS=202.43, Time=4.58ms
Frame 43: FPS=214.62, Avg FPS=202.69, Time=4.66ms
Frame 44: FPS=216.30, Avg FPS=202.98, Time=4.62ms
