Tracker: sutrack_S4F, Config: sutrack_S4F_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_S4F_sutrack_S4F_t224
============================================================
Frame 1: FPS=14.17, Avg FPS=14.17, Time=70.56ms
Frame 2: FPS=183.44, Avg FPS=26.31, Time=5.45ms
Frame 3: FPS=204.61, Avg FPS=37.09, Time=4.89ms
Frame 4: FPS=204.97, Avg FPS=46.63, Time=4.88ms
Frame 5: FPS=218.20, Avg FPS=55.34, Time=4.58ms
Frame 6: FPS=217.70, Avg FPS=63.19, Time=4.59ms
Frame 7: FPS=221.27, Avg FPS=70.37, Time=4.52ms
Frame 8: FPS=201.28, Avg FPS=76.60, Time=4.97ms
Frame 9: FPS=199.43, Avg FPS=82.23, Time=5.01ms
Frame 10: FPS=203.00, Avg FPS=87.43, Time=4.93ms
Frame 11: FPS=207.75, Avg FPS=92.29, Time=4.81ms
Frame 12: FPS=216.44, Avg FPS=96.92, Time=4.62ms
Frame 13: FPS=214.49, Avg FPS=101.19, Time=4.66ms
Frame 14: FPS=216.47, Avg FPS=105.19, Time=4.62ms
Frame 15: FPS=210.53, Avg FPS=108.82, Time=4.75ms
Frame 16: FPS=211.43, Avg FPS=112.22, Time=4.73ms
Frame 17: FPS=215.81, Avg FPS=115.48, Time=4.63ms
Frame 18: FPS=212.52, Avg FPS=118.49, Time=4.71ms
Frame 19: FPS=212.39, Avg FPS=121.31, Time=4.71ms
Frame 20: FPS=215.76, Avg FPS=124.03, Time=4.63ms
Frame 21: FPS=212.29, Avg FPS=126.53, Time=4.71ms
Frame 22: FPS=214.28, Avg FPS=128.93, Time=4.67ms
Frame 23: FPS=202.53, Avg FPS=131.00, Time=4.94ms
Frame 24: FPS=189.49, Avg FPS=132.71, Time=5.28ms
Frame 25: FPS=202.00, Avg FPS=134.55, Time=4.95ms
Frame 26: FPS=199.38, Avg FPS=136.26, Time=5.02ms
Frame 27: FPS=185.74, Avg FPS=137.62, Time=5.38ms
Frame 28: FPS=173.49, Avg FPS=138.64, Time=5.76ms
Frame 29: FPS=197.38, Avg FPS=140.08, Time=5.07ms
Frame 30: FPS=182.23, Avg FPS=141.17, Time=5.49ms
Frame 31: FPS=175.47, Avg FPS=142.06, Time=5.70ms
Frame 32: FPS=179.71, Avg FPS=143.00, Time=5.56ms
Frame 33: FPS=165.97, Avg FPS=143.60, Time=6.03ms
Frame 34: FPS=145.61, Avg FPS=143.66, Time=6.87ms
Frame 35: FPS=183.36, Avg FPS=144.55, Time=5.45ms
Frame 36: FPS=175.51, Avg FPS=145.26, Time=5.70ms
Frame 37: FPS=210.93, Avg FPS=146.50, Time=4.74ms
Frame 38: FPS=188.89, Avg FPS=147.37, Time=5.29ms
Frame 39: FPS=115.90, Avg FPS=146.35, Time=8.63ms
Frame 40: FPS=209.46, Avg FPS=147.46, Time=4.77ms
Frame 41: FPS=222.40, Avg FPS=148.68, Time=4.50ms
Frame 42: FPS=214.40, Avg FPS=149.77, Time=4.66ms
Frame 43: FPS=205.61, Avg FPS=150.73, Time=4.86ms
Frame 44: FPS=141.74, Avg FPS=150.51, Time=7.06ms
Frame 45: FPS=213.80, Avg FPS=151.51, Time=4.68ms
Frame 46: FPS=227.33, Avg FPS=152.61, Time=4.40ms
Frame 47: FPS=228.71, Avg FPS=153.70, Time=4.37ms
Frame 48: FPS=229.33, Avg FPS=154.76, Time=4.36ms
Frame 49: FPS=231.79, Avg FPS=155.82, Time=4.31ms
Frame 50: FPS=234.52, Avg FPS=156.87, Time=4.26ms
Frame 51: FPS=183.94, Avg FPS=157.33, Time=5.44ms
Frame 52: FPS=198.52, Avg FPS=157.96, Time=5.04ms
Frame 53: FPS=162.48, Avg FPS=158.04, Time=6.15ms
Frame 54: FPS=206.32, Avg FPS=158.73, Time=4.85ms
Frame 55: FPS=184.07, Avg FPS=159.13, Time=5.43ms
Frame 56: FPS=204.20, Avg FPS=159.76, Time=4.90ms
