Tracker: sutrack_RMT, Config: sutrack_rmt_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_RMT_sutrack_rmt_t224
============================================================
Frame 1: FPS=42.04, Avg FPS=42.04, Time=23.79ms
Frame 2: FPS=225.25, Avg FPS=70.86, Time=4.44ms
Frame 3: FPS=224.62, Avg FPS=91.81, Time=4.45ms
Frame 4: FPS=226.84, Avg FPS=107.86, Time=4.41ms
Frame 5: FPS=225.68, Avg FPS=120.43, Time=4.43ms
Frame 6: FPS=221.29, Avg FPS=130.33, Time=4.52ms
Frame 7: FPS=221.90, Avg FPS=138.50, Time=4.51ms
Frame 8: FPS=227.49, Avg FPS=145.62, Time=4.40ms
Frame 9: FPS=224.87, Avg FPS=151.55, Time=4.45ms
Frame 10: FPS=224.16, Avg FPS=156.63, Time=4.46ms
Frame 11: FPS=223.91, Avg FPS=161.02, Time=4.47ms
Frame 12: FPS=226.65, Avg FPS=165.01, Time=4.41ms
Frame 13: FPS=229.07, Avg FPS=168.63, Time=4.37ms
Frame 14: FPS=226.79, Avg FPS=171.78, Time=4.41ms
Frame 15: FPS=227.46, Avg FPS=174.63, Time=4.40ms
Frame 16: FPS=226.72, Avg FPS=177.17, Time=4.41ms
Frame 17: FPS=225.78, Avg FPS=179.45, Time=4.43ms
Frame 18: FPS=225.97, Avg FPS=181.52, Time=4.43ms
Frame 19: FPS=226.52, Avg FPS=183.44, Time=4.41ms
Frame 20: FPS=226.60, Avg FPS=185.20, Time=4.41ms
Frame 21: FPS=220.14, Avg FPS=186.61, Time=4.54ms
Frame 22: FPS=225.34, Avg FPS=188.08, Time=4.44ms
Frame 23: FPS=227.26, Avg FPS=189.50, Time=4.40ms
Frame 24: FPS=222.19, Avg FPS=190.67, Time=4.50ms
Frame 25: FPS=227.94, Avg FPS=191.93, Time=4.39ms
Frame 26: FPS=225.77, Avg FPS=193.04, Time=4.43ms
Frame 27: FPS=226.29, Avg FPS=194.10, Time=4.42ms
Frame 28: FPS=228.25, Avg FPS=195.14, Time=4.38ms
Frame 29: FPS=224.52, Avg FPS=196.02, Time=4.45ms
Frame 30: FPS=222.90, Avg FPS=196.82, Time=4.49ms
Frame 31: FPS=225.90, Avg FPS=197.64, Time=4.43ms
Frame 32: FPS=224.87, Avg FPS=198.39, Time=4.45ms
Frame 33: FPS=223.36, Avg FPS=199.06, Time=4.48ms
Frame 34: FPS=225.60, Avg FPS=199.75, Time=4.43ms
Frame 35: FPS=224.51, Avg FPS=200.38, Time=4.45ms
Frame 36: FPS=226.13, Avg FPS=201.02, Time=4.42ms
Frame 37: FPS=229.56, Avg FPS=201.70, Time=4.36ms
Frame 38: FPS=227.84, Avg FPS=202.31, Time=4.39ms
Frame 39: FPS=229.10, Avg FPS=202.92, Time=4.36ms
Frame 40: FPS=225.61, Avg FPS=203.43, Time=4.43ms
Frame 41: FPS=227.14, Avg FPS=203.95, Time=4.40ms
Frame 42: FPS=222.57, Avg FPS=204.36, Time=4.49ms
Frame 43: FPS=225.77, Avg FPS=204.81, Time=4.43ms
Frame 44: FPS=228.55, Avg FPS=205.29, Time=4.38ms
Frame 45: FPS=228.17, Avg FPS=205.75, Time=4.38ms
Frame 46: FPS=227.11, Avg FPS=206.17, Time=4.40ms
Frame 47: FPS=223.90, Avg FPS=206.52, Time=4.47ms
Frame 48: FPS=220.88, Avg FPS=206.80, Time=4.53ms
Frame 49: FPS=230.63, Avg FPS=207.24, Time=4.34ms
Frame 50: FPS=231.56, Avg FPS=207.67, Time=4.32ms
Frame 51: FPS=229.54, Avg FPS=208.06, Time=4.36ms
Frame 52: FPS=225.68, Avg FPS=208.37, Time=4.43ms
Frame 53: FPS=229.02, Avg FPS=208.73, Time=4.37ms
Frame 54: FPS=228.44, Avg FPS=209.06, Time=4.38ms
Frame 55: FPS=229.03, Avg FPS=209.40, Time=4.37ms
Frame 56: FPS=228.20, Avg FPS=209.70, Time=4.38ms
Frame 57: FPS=227.48, Avg FPS=209.99, Time=4.40ms
Frame 58: FPS=227.74, Avg FPS=210.27, Time=4.39ms
Frame 59: FPS=227.56, Avg FPS=210.55, Time=4.39ms
Frame 60: FPS=227.73, Avg FPS=210.81, Time=4.39ms
Frame 61: FPS=225.20, Avg FPS=211.03, Time=4.44ms
Frame 62: FPS=226.83, Avg FPS=211.27, Time=4.41ms
Frame 63: FPS=227.58, Avg FPS=211.51, Time=4.39ms
Frame 64: FPS=224.68, Avg FPS=211.70, Time=4.45ms
Frame 65: FPS=228.09, Avg FPS=211.94, Time=4.38ms
Frame 66: FPS=228.65, Avg FPS=212.17, Time=4.37ms
Frame 67: FPS=227.06, Avg FPS=212.38, Time=4.40ms
Frame 68: FPS=227.70, Avg FPS=212.59, Time=4.39ms
Frame 69: FPS=227.89, Avg FPS=212.80, Time=4.39ms
Frame 70: FPS=228.39, Avg FPS=213.01, Time=4.38ms
Frame 71: FPS=219.57, Avg FPS=213.10, Time=4.55ms
Frame 72: FPS=227.94, Avg FPS=213.29, Time=4.39ms
Frame 73: FPS=227.03, Avg FPS=213.47, Time=4.40ms
Frame 74: FPS=228.01, Avg FPS=213.65, Time=4.39ms
Frame 75: FPS=227.51, Avg FPS=213.82, Time=4.40ms
Frame 76: FPS=228.31, Avg FPS=214.00, Time=4.38ms
Frame 77: FPS=228.52, Avg FPS=214.18, Time=4.38ms
Frame 78: FPS=228.92, Avg FPS=214.36, Time=4.37ms
Frame 79: FPS=228.11, Avg FPS=214.52, Time=4.38ms
Frame 80: FPS=227.68, Avg FPS=214.67, Time=4.39ms
Frame 81: FPS=227.22, Avg FPS=214.82, Time=4.40ms
Frame 82: FPS=229.54, Avg FPS=214.99, Time=4.36ms
Frame 83: FPS=228.65, Avg FPS=215.14, Time=4.37ms
Frame 84: FPS=229.72, Avg FPS=215.31, Time=4.35ms
Frame 85: FPS=228.77, Avg FPS=215.46, Time=4.37ms
Frame 86: FPS=225.49, Avg FPS=215.57, Time=4.43ms
Frame 87: FPS=229.20, Avg FPS=215.71, Time=4.36ms
Frame 88: FPS=227.94, Avg FPS=215.85, Time=4.39ms
Frame 89: FPS=227.32, Avg FPS=215.97, Time=4.40ms
Frame 90: FPS=226.22, Avg FPS=216.08, Time=4.42ms
Frame 91: FPS=228.15, Avg FPS=216.20, Time=4.38ms
Frame 92: FPS=227.85, Avg FPS=216.32, Time=4.39ms
Frame 93: FPS=229.27, Avg FPS=216.45, Time=4.36ms
Frame 94: FPS=228.55, Avg FPS=216.58, Time=4.38ms
Frame 95: FPS=233.51, Avg FPS=216.74, Time=4.28ms
Frame 96: FPS=231.10, Avg FPS=216.88, Time=4.33ms
Frame 97: FPS=231.40, Avg FPS=217.02, Time=4.32ms
Frame 98: FPS=233.55, Avg FPS=217.18, Time=4.28ms
Frame 99: FPS=235.09, Avg FPS=217.35, Time=4.25ms
Frame 100: FPS=227.00, Avg FPS=217.44, Time=4.41ms
Frame 101: FPS=230.52, Avg FPS=217.56, Time=4.34ms
Frame 102: FPS=229.99, Avg FPS=217.68, Time=4.35ms
Frame 103: FPS=229.54, Avg FPS=217.79, Time=4.36ms
Frame 104: FPS=228.66, Avg FPS=217.89, Time=4.37ms
Frame 105: FPS=230.00, Avg FPS=218.00, Time=4.35ms
Frame 106: FPS=232.00, Avg FPS=218.12, Time=4.31ms
Frame 107: FPS=229.88, Avg FPS=218.22, Time=4.35ms
Frame 108: FPS=232.73, Avg FPS=218.35, Time=4.30ms
Frame 109: FPS=230.80, Avg FPS=218.46, Time=4.33ms
Frame 110: FPS=229.46, Avg FPS=218.55, Time=4.36ms
Frame 111: FPS=229.55, Avg FPS=218.65, Time=4.36ms
Frame 112: FPS=230.32, Avg FPS=218.75, Time=4.34ms
Frame 113: FPS=230.91, Avg FPS=218.85, Time=4.33ms
Frame 114: FPS=227.25, Avg FPS=218.92, Time=4.40ms
Frame 115: FPS=227.64, Avg FPS=218.99, Time=4.39ms
Frame 116: FPS=230.03, Avg FPS=219.08, Time=4.35ms
Frame 117: FPS=231.65, Avg FPS=219.18, Time=4.32ms
Frame 118: FPS=230.68, Avg FPS=219.28, Time=4.33ms
Frame 119: FPS=229.76, Avg FPS=219.36, Time=4.35ms
Frame 120: FPS=230.17, Avg FPS=219.45, Time=4.34ms
Frame 121: FPS=230.47, Avg FPS=219.53, Time=4.34ms
