Tracker: sutrack_MLKA, Config: sutrack_mlka_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_MLKA_sutrack_mlka_t224
============================================================
Frame 1: FPS=41.00, Avg FPS=41.00, Time=24.39ms
Frame 2: FPS=200.18, Avg FPS=68.06, Time=5.00ms
Frame 3: FPS=183.92, Avg FPS=86.15, Time=5.44ms
Frame 4: FPS=201.69, Avg FPS=100.55, Time=4.96ms
Frame 5: FPS=196.38, Avg FPS=111.43, Time=5.09ms
Frame 6: FPS=201.99, Avg FPS=120.43, Time=4.95ms
Frame 7: FPS=199.42, Avg FPS=127.65, Time=5.01ms
Frame 8: FPS=203.50, Avg FPS=133.89, Time=4.91ms
Frame 9: FPS=202.35, Avg FPS=139.12, Time=4.94ms
Frame 10: FPS=201.80, Avg FPS=143.58, Time=4.96ms
Frame 11: FPS=203.03, Avg FPS=147.50, Time=4.93ms
Frame 12: FPS=200.87, Avg FPS=150.84, Time=4.98ms
Frame 13: FPS=202.26, Avg FPS=153.85, Time=4.94ms
Frame 14: FPS=200.12, Avg FPS=156.43, Time=5.00ms
Frame 15: FPS=205.06, Avg FPS=158.95, Time=4.88ms
Frame 16: FPS=204.80, Avg FPS=161.20, Time=4.88ms
Frame 17: FPS=201.52, Avg FPS=163.12, Time=4.96ms
Frame 18: FPS=201.28, Avg FPS=164.86, Time=4.97ms
Frame 19: FPS=204.32, Avg FPS=166.55, Time=4.89ms
Frame 20: FPS=201.47, Avg FPS=168.01, Time=4.96ms
Frame 21: FPS=209.72, Avg FPS=169.61, Time=4.77ms
Frame 22: FPS=203.96, Avg FPS=170.92, Time=4.90ms
Frame 23: FPS=203.59, Avg FPS=172.12, Time=4.91ms
Frame 24: FPS=204.48, Avg FPS=173.27, Time=4.89ms
Frame 25: FPS=203.90, Avg FPS=174.31, Time=4.90ms
Frame 26: FPS=201.38, Avg FPS=175.22, Time=4.97ms
Frame 27: FPS=200.68, Avg FPS=176.05, Time=4.98ms
Frame 28: FPS=199.04, Avg FPS=176.78, Time=5.02ms
Frame 29: FPS=202.61, Avg FPS=177.56, Time=4.94ms
Frame 30: FPS=203.14, Avg FPS=178.31, Time=4.92ms
Frame 31: FPS=201.90, Avg FPS=178.98, Time=4.95ms
Frame 32: FPS=203.95, Avg FPS=179.67, Time=4.90ms
Frame 33: FPS=203.79, Avg FPS=180.31, Time=4.91ms
Frame 34: FPS=204.20, Avg FPS=180.94, Time=4.90ms
Frame 35: FPS=204.25, Avg FPS=181.53, Time=4.90ms
Frame 36: FPS=197.00, Avg FPS=181.93, Time=5.08ms
Frame 37: FPS=193.88, Avg FPS=182.23, Time=5.16ms
Frame 38: FPS=199.73, Avg FPS=182.65, Time=5.01ms
Frame 39: FPS=198.62, Avg FPS=183.03, Time=5.03ms
Frame 40: FPS=198.94, Avg FPS=183.39, Time=5.03ms
Frame 41: FPS=198.11, Avg FPS=183.73, Time=5.05ms
Frame 42: FPS=196.66, Avg FPS=184.02, Time=5.08ms
Frame 43: FPS=194.03, Avg FPS=184.24, Time=5.15ms
Frame 44: FPS=196.95, Avg FPS=184.51, Time=5.08ms
Frame 45: FPS=196.11, Avg FPS=184.75, Time=5.10ms
Frame 46: FPS=196.40, Avg FPS=184.99, Time=5.09ms
Frame 47: FPS=197.03, Avg FPS=185.23, Time=5.08ms
Frame 48: FPS=199.26, Avg FPS=185.50, Time=5.02ms
Frame 49: FPS=196.60, Avg FPS=185.72, Time=5.09ms
Frame 50: FPS=198.93, Avg FPS=185.96, Time=5.03ms
Frame 51: FPS=196.50, Avg FPS=186.16, Time=5.09ms
Frame 52: FPS=198.32, Avg FPS=186.38, Time=5.04ms
Frame 53: FPS=197.94, Avg FPS=186.58, Time=5.05ms
Frame 54: FPS=197.08, Avg FPS=186.77, Time=5.07ms
Frame 55: FPS=197.18, Avg FPS=186.95, Time=5.07ms
Frame 56: FPS=198.08, Avg FPS=187.14, Time=5.05ms
Frame 57: FPS=197.69, Avg FPS=187.31, Time=5.06ms
Frame 58: FPS=189.45, Avg FPS=187.35, Time=5.28ms
Frame 59: FPS=193.86, Avg FPS=187.45, Time=5.16ms
Frame 60: FPS=197.26, Avg FPS=187.61, Time=5.07ms
Frame 61: FPS=198.28, Avg FPS=187.78, Time=5.04ms
Frame 62: FPS=194.84, Avg FPS=187.89, Time=5.13ms
Frame 63: FPS=196.19, Avg FPS=188.01, Time=5.10ms
Frame 64: FPS=196.05, Avg FPS=188.13, Time=5.10ms
Frame 65: FPS=196.49, Avg FPS=188.26, Time=5.09ms
Frame 66: FPS=197.51, Avg FPS=188.39, Time=5.06ms
Frame 67: FPS=196.39, Avg FPS=188.50, Time=5.09ms
Frame 68: FPS=199.25, Avg FPS=188.65, Time=5.02ms
Frame 69: FPS=197.74, Avg FPS=188.78, Time=5.06ms
Frame 70: FPS=197.86, Avg FPS=188.90, Time=5.05ms
Frame 71: FPS=194.81, Avg FPS=188.98, Time=5.13ms
Frame 72: FPS=192.74, Avg FPS=189.03, Time=5.19ms
Frame 73: FPS=196.27, Avg FPS=189.13, Time=5.10ms
Frame 74: FPS=197.54, Avg FPS=189.24, Time=5.06ms
Frame 75: FPS=195.79, Avg FPS=189.32, Time=5.11ms
Frame 76: FPS=203.35, Avg FPS=189.50, Time=4.92ms
Frame 77: FPS=197.24, Avg FPS=189.59, Time=5.07ms
Frame 78: FPS=203.73, Avg FPS=189.76, Time=4.91ms
Frame 79: FPS=195.27, Avg FPS=189.83, Time=5.12ms
Frame 80: FPS=201.82, Avg FPS=189.97, Time=4.95ms
Frame 81: FPS=196.11, Avg FPS=190.04, Time=5.10ms
Frame 82: FPS=196.92, Avg FPS=190.12, Time=5.08ms
Frame 83: FPS=196.61, Avg FPS=190.20, Time=5.09ms
Frame 84: FPS=197.23, Avg FPS=190.28, Time=5.07ms
Frame 85: FPS=195.62, Avg FPS=190.34, Time=5.11ms
Frame 86: FPS=203.61, Avg FPS=190.49, Time=4.91ms
Frame 87: FPS=197.11, Avg FPS=190.56, Time=5.07ms
Frame 88: FPS=198.07, Avg FPS=190.64, Time=5.05ms
Frame 89: FPS=196.16, Avg FPS=190.70, Time=5.10ms
Frame 90: FPS=202.78, Avg FPS=190.83, Time=4.93ms
Frame 91: FPS=196.48, Avg FPS=190.89, Time=5.09ms
Frame 92: FPS=196.91, Avg FPS=190.95, Time=5.08ms
Frame 93: FPS=197.17, Avg FPS=191.02, Time=5.07ms
Frame 94: FPS=197.12, Avg FPS=191.08, Time=5.07ms
Frame 95: FPS=196.67, Avg FPS=191.14, Time=5.08ms
Frame 96: FPS=197.02, Avg FPS=191.20, Time=5.08ms
Frame 97: FPS=196.81, Avg FPS=191.25, Time=5.08ms
Frame 98: FPS=196.80, Avg FPS=191.31, Time=5.08ms
Frame 99: FPS=197.30, Avg FPS=191.37, Time=5.07ms
Frame 100: FPS=196.07, Avg FPS=191.41, Time=5.10ms
Frame 101: FPS=197.41, Avg FPS=191.47, Time=5.07ms
Frame 102: FPS=196.12, Avg FPS=191.51, Time=5.10ms
Frame 103: FPS=196.45, Avg FPS=191.56, Time=5.09ms
Frame 104: FPS=196.14, Avg FPS=191.60, Time=5.10ms
Frame 105: FPS=194.58, Avg FPS=191.63, Time=5.14ms
Frame 106: FPS=196.40, Avg FPS=191.68, Time=5.09ms
Frame 107: FPS=199.91, Avg FPS=191.75, Time=5.00ms
Frame 108: FPS=197.66, Avg FPS=191.80, Time=5.06ms
Frame 109: FPS=191.62, Avg FPS=191.80, Time=5.22ms
Frame 110: FPS=195.79, Avg FPS=191.84, Time=5.11ms
Frame 111: FPS=194.98, Avg FPS=191.86, Time=5.13ms
Frame 112: FPS=192.48, Avg FPS=191.87, Time=5.20ms
Frame 113: FPS=195.24, Avg FPS=191.90, Time=5.12ms
Frame 114: FPS=201.44, Avg FPS=191.98, Time=4.96ms
Frame 115: FPS=196.00, Avg FPS=192.01, Time=5.10ms
Frame 116: FPS=195.94, Avg FPS=192.05, Time=5.10ms
Frame 117: FPS=193.81, Avg FPS=192.06, Time=5.16ms
Frame 118: FPS=196.04, Avg FPS=192.09, Time=5.10ms
Frame 119: FPS=195.68, Avg FPS=192.12, Time=5.11ms
Frame 120: FPS=197.41, Avg FPS=192.17, Time=5.07ms
Frame 121: FPS=195.46, Avg FPS=192.19, Time=5.12ms
Frame 122: FPS=192.39, Avg FPS=192.20, Time=5.20ms
Frame 123: FPS=193.46, Avg FPS=192.21, Time=5.17ms
Frame 124: FPS=192.72, Avg FPS=192.21, Time=5.19ms
Frame 125: FPS=196.86, Avg FPS=192.25, Time=5.08ms
Frame 126: FPS=197.51, Avg FPS=192.29, Time=5.06ms
Frame 127: FPS=196.43, Avg FPS=192.32, Time=5.09ms
Frame 128: FPS=195.28, Avg FPS=192.34, Time=5.12ms
