[train: 41, 50 / 3125] FPS: 129.4 (313.9)  ,  Loss/total: 0.64133  ,  Loss/giou: 0.16210  ,  Loss/l1: 0.01281  ,  Loss/location: 0.25310  ,  Loss/task_class: 0.00000  ,  IoU: 0.84652  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 100 / 3125] FPS: 149.9 (307.8)  ,  Loss/total: 0.65100  ,  Loss/giou: 0.16337  ,  Loss/l1: 0.01324  ,  Loss/location: 0.25804  ,  Loss/task_class: 0.00000  ,  IoU: 0.84580  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 150 / 3125] FPS: 158.8 (298.2)  ,  Loss/total: 0.65046  ,  Loss/giou: 0.16366  ,  Loss/l1: 0.01312  ,  Loss/location: 0.25752  ,  Loss/task_class: 0.00000  ,  IoU: 0.84520  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 200 / 3125] FPS: 161.4 (300.7)  ,  Loss/total: 0.65014  ,  Loss/giou: 0.16374  ,  Loss/l1: 0.01317  ,  Loss/location: 0.25680  ,  Loss/task_class: 0.00000  ,  IoU: 0.84518  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 250 / 3125] FPS: 163.9 (319.2)  ,  Loss/total: 0.64459  ,  Loss/giou: 0.16203  ,  Loss/l1: 0.01294  ,  Loss/location: 0.25586  ,  Loss/task_class: 0.00000  ,  IoU: 0.84636  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 50 / 3125] FPS: 154.7 (297.3)  ,  Loss/total: 0.90024  ,  Loss/giou: 0.21752  ,  Loss/l1: 0.01966  ,  Loss/location: 0.36689  ,  Loss/task_class: 0.00000  ,  IoU: 0.79765  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 50 / 1875] FPS: 165.6 (318.5)  ,  Loss/total: 0.88466  ,  Loss/giou: 0.21367  ,  Loss/l1: 0.01904  ,  Loss/location: 0.36212  ,  Loss/task_class: 0.00000  ,  IoU: 0.80086  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 100 / 1875] FPS: 177.3 (310.6)  ,  Loss/total: 0.91265  ,  Loss/giou: 0.21934  ,  Loss/l1: 0.02004  ,  Loss/location: 0.37377  ,  Loss/task_class: 0.00000  ,  IoU: 0.79582  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 150 / 1875] FPS: 173.1 (251.0)  ,  Loss/total: 0.91445  ,  Loss/giou: 0.22014  ,  Loss/l1: 0.02039  ,  Loss/location: 0.37220  ,  Loss/task_class: 0.00000  ,  IoU: 0.79538  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 200 / 1875] FPS: 178.7 (288.8)  ,  Loss/total: 0.90357  ,  Loss/giou: 0.21793  ,  Loss/l1: 0.02010  ,  Loss/location: 0.36720  ,  Loss/task_class: 0.00000  ,  IoU: 0.79704  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
[train: 41, 250 / 1875] FPS: 182.9 (335.0)  ,  Loss/total: 0.90806  ,  Loss/giou: 0.21937  ,  Loss/l1: 0.02038  ,  Loss/location: 0.36743  ,  Loss/task_class: 0.00000  ,  IoU: 0.79629  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000
