[train: 1, 50 / 3125] FPS: 131.3 (161.9)  ,  Loss/total: 77.58088  ,  Loss/giou: 1.08564  ,  Loss/l1: 0.29580  ,  Loss/location: 72.89939  ,  Loss/task_class: 1.03122  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.08875
[train: 1, 100 / 3125] FPS: 147.0 (175.6)  ,  Loss/total: 56.45051  ,  Loss/giou: 1.07395  ,  Loss/l1: 0.28967  ,  Loss/location: 52.05280  ,  Loss/task_class: 0.80147  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.09104
[train: 1, 150 / 3125] FPS: 154.2 (145.4)  ,  Loss/total: 47.29616  ,  Loss/giou: 1.06398  ,  Loss/l1: 0.28065  ,  Loss/location: 43.07745  ,  Loss/task_class: 0.68752  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.09546
[train: 1, 200 / 3125] FPS: 157.9 (152.8)  ,  Loss/total: 40.72721  ,  Loss/giou: 1.05262  ,  Loss/l1: 0.27126  ,  Loss/location: 36.64560  ,  Loss/task_class: 0.62007  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.10092
[train: 1, 250 / 3125] FPS: 161.0 (172.2)  ,  Loss/total: 36.05170  ,  Loss/giou: 1.04517  ,  Loss/l1: 0.26332  ,  Loss/location: 32.09486  ,  Loss/task_class: 0.54992  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.10571
[train: 1, 300 / 3125] FPS: 162.6 (186.6)  ,  Loss/total: 32.04974  ,  Loss/giou: 1.03811  ,  Loss/l1: 0.25687  ,  Loss/location: 28.19925  ,  Loss/task_class: 0.48993  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.11052
[train: 1, 350 / 3125] FPS: 164.9 (156.4)  ,  Loss/total: 28.99577  ,  Loss/giou: 1.03271  ,  Loss/l1: 0.25123  ,  Loss/location: 25.23616  ,  Loss/task_class: 0.43804  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.11470
[train: 1, 400 / 3125] FPS: 165.8 (180.8)  ,  Loss/total: 26.32498  ,  Loss/giou: 1.02160  ,  Loss/l1: 0.24282  ,  Loss/location: 22.67688  ,  Loss/task_class: 0.39079  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.12393
[train: 1, 450 / 3125] FPS: 166.8 (185.2)  ,  Loss/total: 24.24483  ,  Loss/giou: 1.00908  ,  Loss/l1: 0.23405  ,  Loss/location: 20.70485  ,  Loss/task_class: 0.35157  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.13473
[train: 1, 500 / 3125] FPS: 166.9 (158.0)  ,  Loss/total: 22.48589  ,  Loss/giou: 0.99312  ,  Loss/l1: 0.22489  ,  Loss/location: 19.05562  ,  Loss/task_class: 0.31960  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.14823
[train: 1, 550 / 3125] FPS: 167.1 (172.2)  ,  Loss/total: 20.93772  ,  Loss/giou: 0.97534  ,  Loss/l1: 0.21572  ,  Loss/location: 17.61540  ,  Loss/task_class: 0.29304  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.16346
[train: 1, 600 / 3125] FPS: 167.2 (166.5)  ,  Loss/total: 19.63903  ,  Loss/giou: 0.95803  ,  Loss/l1: 0.20734  ,  Loss/location: 16.41542  ,  Loss/task_class: 0.27087  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.17850
[train: 1, 650 / 3125] FPS: 167.4 (169.5)  ,  Loss/total: 18.49612  ,  Loss/giou: 0.94000  ,  Loss/l1: 0.19939  ,  Loss/location: 15.36832  ,  Loss/task_class: 0.25085  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.19401
[train: 1, 700 / 3125] FPS: 167.4 (176.9)  ,  Loss/total: 17.49319  ,  Loss/giou: 0.92329  ,  Loss/l1: 0.19235  ,  Loss/location: 14.45105  ,  Loss/task_class: 0.23382  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.20833
[train: 1, 750 / 3125] FPS: 167.6 (173.2)  ,  Loss/total: 16.58559  ,  Loss/giou: 0.90764  ,  Loss/l1: 0.18591  ,  Loss/location: 13.62208  ,  Loss/task_class: 0.21867  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.22188
[train: 1, 800 / 3125] FPS: 167.9 (181.8)  ,  Loss/total: 15.78093  ,  Loss/giou: 0.89360  ,  Loss/l1: 0.18025  ,  Loss/location: 12.88680  ,  Loss/task_class: 0.20570  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.23431
[train: 1, 850 / 3125] FPS: 168.1 (170.6)  ,  Loss/total: 15.04923  ,  Loss/giou: 0.87836  ,  Loss/l1: 0.17466  ,  Loss/location: 12.22524  ,  Loss/task_class: 0.19397  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.24752
[train: 1, 900 / 3125] FPS: 168.1 (168.7)  ,  Loss/total: 14.39176  ,  Loss/giou: 0.86369  ,  Loss/l1: 0.16950  ,  Loss/location: 11.63276  ,  Loss/task_class: 0.18412  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.26013
[train: 1, 950 / 3125] FPS: 168.0 (162.3)  ,  Loss/total: 13.80581  ,  Loss/giou: 0.85087  ,  Loss/l1: 0.16502  ,  Loss/location: 11.10430  ,  Loss/task_class: 0.17467  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.27123
[train: 1, 1000 / 3125] FPS: 167.6 (174.4)  ,  Loss/total: 13.26412  ,  Loss/giou: 0.83814  ,  Loss/l1: 0.16065  ,  Loss/location: 10.61842  ,  Loss/task_class: 0.16618  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.28205
[train: 1, 1050 / 3125] FPS: 167.2 (168.8)  ,  Loss/total: 12.76292  ,  Loss/giou: 0.82549  ,  Loss/l1: 0.15644  ,  Loss/location: 10.17130  ,  Loss/task_class: 0.15846  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.29263
[train: 1, 1100 / 3125] FPS: 167.3 (150.4)  ,  Loss/total: 12.30756  ,  Loss/giou: 0.81454  ,  Loss/l1: 0.15281  ,  Loss/location: 9.76291  ,  Loss/task_class: 0.15150  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.30201
[train: 1, 1150 / 3125] FPS: 167.6 (164.0)  ,  Loss/total: 11.88677  ,  Loss/giou: 0.80338  ,  Loss/l1: 0.14927  ,  Loss/location: 9.38862  ,  Loss/task_class: 0.14505  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.31134
