[train: 1, 50 / 3125] FPS: 139.4 (175.0)  ,  Loss/total: 51.93183  ,  Loss/giou: 1.15019  ,  Loss/l1: 0.26147  ,  Loss/location: 47.28030  ,  Loss/task_class: 1.04381  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.09427
[train: 1, 100 / 3125] FPS: 157.3 (185.8)  ,  Loss/total: 35.18137  ,  Loss/giou: 1.12076  ,  Loss/l1: 0.25391  ,  Loss/location: 30.90428  ,  Loss/task_class: 0.76602  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.10273
[train: 1, 150 / 3125] FPS: 163.9 (186.6)  ,  Loss/total: 27.83794  ,  Loss/giou: 1.09509  ,  Loss/l1: 0.24711  ,  Loss/location: 23.75615  ,  Loss/task_class: 0.65604  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.10816
[train: 1, 200 / 3125] FPS: 166.7 (170.8)  ,  Loss/total: 23.80214  ,  Loss/giou: 1.07962  ,  Loss/l1: 0.24024  ,  Loss/location: 19.85574  ,  Loss/task_class: 0.58598  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.11311
[train: 1, 250 / 3125] FPS: 168.3 (186.0)  ,  Loss/total: 20.97391  ,  Loss/giou: 1.06661  ,  Loss/l1: 0.23461  ,  Loss/location: 17.13962  ,  Loss/task_class: 0.52804  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.11810
[train: 1, 300 / 3125] FPS: 170.0 (157.9)  ,  Loss/total: 18.87878  ,  Loss/giou: 1.05535  ,  Loss/l1: 0.22995  ,  Loss/location: 15.15025  ,  Loss/task_class: 0.46807  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.12310
[train: 1, 350 / 3125] FPS: 170.4 (186.9)  ,  Loss/total: 17.29436  ,  Loss/giou: 1.04594  ,  Loss/l1: 0.22517  ,  Loss/location: 13.66158  ,  Loss/task_class: 0.41507  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.12978
[train: 1, 400 / 3125] FPS: 171.1 (151.7)  ,  Loss/total: 15.84159  ,  Loss/giou: 1.02845  ,  Loss/l1: 0.21756  ,  Loss/location: 12.32599  ,  Loss/task_class: 0.37092  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.14139
[train: 1, 450 / 3125] FPS: 170.9 (170.0)  ,  Loss/total: 14.84409  ,  Loss/giou: 1.00913  ,  Loss/l1: 0.20916  ,  Loss/location: 11.44658  ,  Loss/task_class: 0.33347  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.15606
[train: 1, 500 / 3125] FPS: 171.5 (183.0)  ,  Loss/total: 13.83551  ,  Loss/giou: 0.98904  ,  Loss/l1: 0.20069  ,  Loss/location: 10.54960  ,  Loss/task_class: 0.30436  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.17177
[train: 1, 550 / 3125] FPS: 172.2 (184.2)  ,  Loss/total: 12.95573  ,  Loss/giou: 0.96883  ,  Loss/l1: 0.19260  ,  Loss/location: 9.77683  ,  Loss/task_class: 0.27827  ,  Loss/activeness: 0.00000  ,  ActRate: 0.00000  ,  IoU: 0.18797
