Tracker: sutrack_SGLA, Config: sutrack_sgla_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_SGLA_sutrack_sgla_t224
============================================================
Frame 1: FPS=43.57, Avg FPS=43.57, Time=22.95ms
Frame 2: FPS=264.03, Avg FPS=74.79, Time=3.79ms
Frame 3: FPS=265.61, Avg FPS=98.35, Time=3.76ms
Frame 4: FPS=264.86, Avg FPS=116.69, Time=3.78ms
Frame 5: FPS=279.43, Avg FPS=132.07, Time=3.58ms
Frame 6: FPS=268.18, Avg FPS=144.27, Time=3.73ms
Frame 7: FPS=267.77, Avg FPS=154.45, Time=3.73ms
Frame 8: FPS=261.67, Avg FPS=162.79, Time=3.82ms
Frame 9: FPS=262.93, Avg FPS=169.98, Time=3.80ms
Frame 10: FPS=263.11, Avg FPS=176.22, Time=3.80ms
Frame 11: FPS=261.59, Avg FPS=181.61, Time=3.82ms
Frame 12: FPS=269.33, Avg FPS=186.67, Time=3.71ms
Frame 13: FPS=268.13, Avg FPS=191.14, Time=3.73ms
Frame 14: FPS=282.35, Avg FPS=195.65, Time=3.54ms
Frame 15: FPS=263.38, Avg FPS=199.07, Time=3.80ms
Frame 16: FPS=264.16, Avg FPS=202.18, Time=3.79ms
Frame 17: FPS=268.62, Avg FPS=205.17, Time=3.72ms
Frame 18: FPS=268.90, Avg FPS=207.90, Time=3.72ms
Frame 19: FPS=268.33, Avg FPS=210.40, Time=3.73ms
Frame 20: FPS=261.03, Avg FPS=212.46, Time=3.83ms
Frame 21: FPS=263.03, Avg FPS=214.42, Time=3.80ms
Frame 22: FPS=262.93, Avg FPS=216.23, Time=3.80ms
Frame 23: FPS=263.73, Avg FPS=217.94, Time=3.79ms
Frame 24: FPS=266.17, Avg FPS=219.60, Time=3.76ms
Frame 25: FPS=263.83, Avg FPS=221.08, Time=3.79ms
Frame 26: FPS=266.22, Avg FPS=222.53, Time=3.76ms
Frame 27: FPS=265.63, Avg FPS=223.88, Time=3.76ms
Frame 28: FPS=261.12, Avg FPS=225.02, Time=3.83ms
Frame 29: FPS=265.61, Avg FPS=226.22, Time=3.76ms
Frame 30: FPS=263.69, Avg FPS=227.29, Time=3.79ms
Frame 31: FPS=265.93, Avg FPS=228.36, Time=3.76ms
Frame 32: FPS=266.71, Avg FPS=229.39, Time=3.75ms
Frame 33: FPS=260.90, Avg FPS=230.24, Time=3.83ms
Frame 34: FPS=264.56, Avg FPS=231.12, Time=3.78ms
Frame 35: FPS=253.40, Avg FPS=231.70, Time=3.95ms
Frame 36: FPS=267.65, Avg FPS=232.57, Time=3.74ms
Frame 37: FPS=264.24, Avg FPS=233.32, Time=3.78ms
Frame 38: FPS=265.31, Avg FPS=234.07, Time=3.77ms
Frame 39: FPS=267.34, Avg FPS=234.82, Time=3.74ms
Frame 40: FPS=266.41, Avg FPS=235.51, Time=3.75ms
Frame 41: FPS=262.23, Avg FPS=236.10, Time=3.81ms
Frame 42: FPS=265.40, Avg FPS=236.72, Time=3.77ms
Frame 43: FPS=264.89, Avg FPS=237.31, Time=3.78ms
Frame 44: FPS=265.93, Avg FPS=237.89, Time=3.76ms
Frame 45: FPS=264.99, Avg FPS=238.43, Time=3.77ms
Frame 46: FPS=267.84, Avg FPS=239.00, Time=3.73ms
Frame 47: FPS=264.01, Avg FPS=239.49, Time=3.79ms
Frame 48: FPS=265.28, Avg FPS=239.97, Time=3.77ms
Frame 49: FPS=266.07, Avg FPS=240.45, Time=3.76ms
Frame 50: FPS=265.68, Avg FPS=240.91, Time=3.76ms
Frame 51: FPS=269.25, Avg FPS=241.41, Time=3.71ms
Frame 52: FPS=266.71, Avg FPS=241.85, Time=3.75ms
Frame 53: FPS=268.49, Avg FPS=242.30, Time=3.72ms
Frame 54: FPS=265.61, Avg FPS=242.70, Time=3.76ms
Frame 55: FPS=264.96, Avg FPS=243.07, Time=3.77ms
Frame 56: FPS=261.85, Avg FPS=243.38, Time=3.82ms
Frame 57: FPS=264.76, Avg FPS=243.73, Time=3.78ms
Frame 58: FPS=274.87, Avg FPS=244.20, Time=3.64ms
Frame 59: FPS=263.13, Avg FPS=244.50, Time=3.80ms
Frame 60: FPS=266.68, Avg FPS=244.84, Time=3.75ms
Frame 61: FPS=266.12, Avg FPS=245.16, Time=3.76ms
Frame 62: FPS=268.16, Avg FPS=245.50, Time=3.73ms
Frame 63: FPS=265.08, Avg FPS=245.79, Time=3.77ms
Frame 64: FPS=264.37, Avg FPS=246.06, Time=3.78ms
Frame 65: FPS=266.98, Avg FPS=246.36, Time=3.75ms
Frame 66: FPS=263.03, Avg FPS=246.59, Time=3.80ms
Frame 67: FPS=266.76, Avg FPS=246.87, Time=3.75ms
Frame 68: FPS=265.71, Avg FPS=247.13, Time=3.76ms
Frame 69: FPS=263.54, Avg FPS=247.35, Time=3.79ms
Frame 70: FPS=263.49, Avg FPS=247.57, Time=3.80ms
Frame 71: FPS=263.83, Avg FPS=247.79, Time=3.79ms
Frame 72: FPS=262.72, Avg FPS=247.98, Time=3.81ms
Frame 73: FPS=266.76, Avg FPS=248.22, Time=3.75ms
Frame 74: FPS=269.09, Avg FPS=248.48, Time=3.72ms
Frame 75: FPS=267.05, Avg FPS=248.71, Time=3.74ms
Frame 76: FPS=266.12, Avg FPS=248.93, Time=3.76ms
Frame 77: FPS=265.63, Avg FPS=249.13, Time=3.76ms
Frame 78: FPS=266.95, Avg FPS=249.34, Time=3.75ms
Frame 79: FPS=263.78, Avg FPS=249.52, Time=3.79ms
Frame 80: FPS=264.89, Avg FPS=249.70, Time=3.78ms
Frame 81: FPS=263.76, Avg FPS=249.86, Time=3.79ms
Frame 82: FPS=265.55, Avg FPS=250.04, Time=3.77ms
Frame 83: FPS=264.76, Avg FPS=250.21, Time=3.78ms
Frame 84: FPS=263.96, Avg FPS=250.36, Time=3.79ms
