Tracker: sutrack_active, Config: sutrack_active_fix_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_active_sutrack_active_fix_t224
============================================================
Frame 1: FPS=42.25, Avg FPS=42.25, Time=23.67ms
Frame 2: FPS=243.36, Avg FPS=72.00, Time=4.11ms
Frame 3: FPS=250.96, Avg FPS=94.45, Time=3.98ms
Frame 4: FPS=237.89, Avg FPS=111.22, Time=4.20ms
Frame 5: FPS=240.06, Avg FPS=124.59, Time=4.17ms
Frame 6: FPS=250.63, Avg FPS=135.99, Time=3.99ms
Frame 7: FPS=236.59, Avg FPS=144.78, Time=4.23ms
Frame 8: FPS=242.91, Avg FPS=152.48, Time=4.12ms
Frame 9: FPS=243.76, Avg FPS=159.10, Time=4.10ms
Frame 10: FPS=252.64, Avg FPS=165.22, Time=3.96ms
Frame 11: FPS=242.84, Avg FPS=170.16, Time=4.12ms
Frame 12: FPS=237.38, Avg FPS=174.28, Time=4.21ms
Frame 13: FPS=239.91, Avg FPS=178.02, Time=4.17ms
Frame 14: FPS=241.89, Avg FPS=181.45, Time=4.13ms
Frame 15: FPS=245.55, Avg FPS=184.66, Time=4.07ms
Frame 16: FPS=245.74, Avg FPS=187.57, Time=4.07ms
Frame 17: FPS=259.32, Avg FPS=190.68, Time=3.86ms
Frame 18: FPS=246.23, Avg FPS=193.10, Time=4.06ms
Frame 19: FPS=246.33, Avg FPS=195.32, Time=4.06ms
Frame 20: FPS=250.35, Avg FPS=197.49, Time=3.99ms
Frame 21: FPS=246.04, Avg FPS=199.36, Time=4.06ms
Frame 22: FPS=249.10, Avg FPS=201.19, Time=4.01ms
Frame 23: FPS=240.55, Avg FPS=202.63, Time=4.16ms
Frame 24: FPS=258.91, Avg FPS=204.48, Time=3.86ms
Frame 25: FPS=244.57, Avg FPS=205.83, Time=4.09ms
Frame 26: FPS=251.62, Avg FPS=207.28, Time=3.97ms
Frame 27: FPS=240.14, Avg FPS=208.34, Time=4.16ms
Frame 28: FPS=243.81, Avg FPS=209.43, Time=4.10ms
Frame 29: FPS=240.53, Avg FPS=210.36, Time=4.16ms
Frame 30: FPS=255.13, Avg FPS=211.60, Time=3.92ms
Frame 31: FPS=245.04, Avg FPS=212.54, Time=4.08ms
Frame 32: FPS=249.01, Avg FPS=213.51, Time=4.02ms
Frame 33: FPS=259.29, Avg FPS=214.66, Time=3.86ms
Frame 34: FPS=248.51, Avg FPS=215.53, Time=4.02ms
Frame 35: FPS=248.73, Avg FPS=216.35, Time=4.02ms
Frame 36: FPS=246.14, Avg FPS=217.08, Time=4.06ms
Frame 37: FPS=249.65, Avg FPS=217.85, Time=4.01ms
Frame 38: FPS=246.29, Avg FPS=218.51, Time=4.06ms
Frame 39: FPS=243.01, Avg FPS=219.08, Time=4.12ms
Frame 40: FPS=247.09, Avg FPS=219.70, Time=4.05ms
Frame 41: FPS=249.38, Avg FPS=220.34, Time=4.01ms
Frame 42: FPS=250.48, Avg FPS=220.97, Time=3.99ms
