Tracker: sutrack_MFE, Config: sutrack_mfe_t224
Results Directory: /home/nick/code/code.sutrack/SUTrack/results/sutrack_MFE_sutrack_mfe_t224
============================================================
Frame 1: FPS=28.51, Avg FPS=28.51, Time=35.07ms
Frame 2: FPS=137.33, Avg FPS=47.22, Time=7.28ms
Frame 3: FPS=125.01, Avg FPS=59.58, Time=8.00ms
Frame 4: FPS=195.02, Avg FPS=72.10, Time=5.13ms
Frame 5: FPS=199.30, Avg FPS=82.65, Time=5.02ms
Frame 6: FPS=203.82, Avg FPS=91.74, Time=4.91ms
Frame 7: FPS=202.43, Avg FPS=99.51, Time=4.94ms
Frame 8: FPS=200.63, Avg FPS=106.20, Time=4.98ms
Frame 9: FPS=209.52, Avg FPS=112.36, Time=4.77ms
Frame 10: FPS=197.89, Avg FPS=117.43, Time=5.05ms
Frame 11: FPS=204.64, Avg FPS=122.17, Time=4.89ms
Frame 12: FPS=197.94, Avg FPS=126.19, Time=5.05ms
Frame 13: FPS=198.24, Avg FPS=129.82, Time=5.04ms
Frame 14: FPS=198.39, Avg FPS=133.11, Time=5.04ms
Frame 15: FPS=198.86, Avg FPS=136.11, Time=5.03ms
Frame 16: FPS=204.84, Avg FPS=139.02, Time=4.88ms
Frame 17: FPS=205.17, Avg FPS=141.71, Time=4.87ms
Frame 18: FPS=206.66, Avg FPS=144.23, Time=4.84ms
Frame 19: FPS=205.88, Avg FPS=146.54, Time=4.86ms
Frame 20: FPS=203.29, Avg FPS=148.61, Time=4.92ms
Frame 21: FPS=203.98, Avg FPS=150.56, Time=4.90ms
Frame 22: FPS=200.52, Avg FPS=152.28, Time=4.99ms
Frame 23: FPS=199.59, Avg FPS=153.87, Time=5.01ms
Frame 24: FPS=204.36, Avg FPS=155.47, Time=4.89ms
Frame 25: FPS=209.37, Avg FPS=157.09, Time=4.78ms
Frame 26: FPS=202.11, Avg FPS=158.45, Time=4.95ms
Frame 27: FPS=203.67, Avg FPS=159.76, Time=4.91ms
Frame 28: FPS=203.48, Avg FPS=160.99, Time=4.91ms
Frame 29: FPS=202.44, Avg FPS=162.14, Time=4.94ms
Frame 30: FPS=201.97, Avg FPS=163.21, Time=4.95ms
Frame 31: FPS=200.95, Avg FPS=164.21, Time=4.98ms
Frame 32: FPS=202.56, Avg FPS=165.18, Time=4.94ms
Frame 33: FPS=203.15, Avg FPS=166.13, Time=4.92ms
Frame 34: FPS=203.12, Avg FPS=167.02, Time=4.92ms
Frame 35: FPS=202.52, Avg FPS=167.86, Time=4.94ms
Frame 36: FPS=200.25, Avg FPS=168.62, Time=4.99ms
Frame 37: FPS=204.57, Avg FPS=169.42, Time=4.89ms
Frame 38: FPS=202.23, Avg FPS=170.15, Time=4.94ms
Frame 39: FPS=203.32, Avg FPS=170.86, Time=4.92ms
Frame 40: FPS=203.10, Avg FPS=171.54, Time=4.92ms
Frame 41: FPS=202.66, Avg FPS=172.19, Time=4.93ms
Frame 42: FPS=209.95, Avg FPS=172.93, Time=4.76ms
Frame 43: FPS=203.71, Avg FPS=173.54, Time=4.91ms
Frame 44: FPS=202.39, Avg FPS=174.10, Time=4.94ms
Frame 45: FPS=200.68, Avg FPS=174.62, Time=4.98ms
Frame 46: FPS=204.06, Avg FPS=175.17, Time=4.90ms
Frame 47: FPS=206.57, Avg FPS=175.74, Time=4.84ms
Frame 48: FPS=202.61, Avg FPS=176.22, Time=4.94ms
Frame 49: FPS=203.83, Avg FPS=176.71, Time=4.91ms
Frame 50: FPS=203.74, Avg FPS=177.18, Time=4.91ms
